,Sentence
415,wasn i able to get on hold your system kept kicking me to the main menu 
416,was in a line a mile long at sky harbor this morning your staff was courteous and expeditious thank you 
417,i have been on hold for  hours _exclamation_ when will you answer _questionmark_  
418,trying  fly from dna to sri to visit a family member in hospice but  was cancelled lighted can someone assist me _questionmark_  
419,as a member of the news media the awful service of the last few days won i go unnoticed 
420,hi there any rough idea of when january  flights will be made available _questionmark_  
421,lost bag in houston we leave for a bahamas cruise today from and had to buy all new stuff customer service is non existent 
422,flight attendant regains karma by giving big sweaty dad cold water guy was running amp carrying his daughter last one onboard 
423,how is your gate agent gonna tell me my flight is on time when its  minutes past departure time and the previous flights plane 
424,again you said to go take the time to go there knowing what the issue was and knowing you won't fix it 
425,roberts amp i  
426,can u help rebook passenger via twitter do been on hold for   hours thanks _exclamation_  
427,there are at least  of us on  at ord waiting to deplane to catch  to cut any chance of waiting to last second for us _questionmark_  
428,i have got a campus visit in an hour and i am still wearing the same clothes 
429,will you pick up your phone then _questionmark_  
430,glad you appreciate it it'll be the last dollar you ever get from me thanks to your wretched customer service 
431,flight  to be specific the last two were probably  feet apart and within sight of each other 
432,volumes profit up 
433,why doesn i anyone make a better effort to retain customers it should be an easy fix i just want to travel a 
434,is useless airways day  trying to get home on standby as a result of their cancelled flightlation 
435,the opal dragon book the dragon ali has woven his murdering ways from the philippines to australia 
436,if i am a rapid awards member does my points apply after i have taken my round trip _questionmark_  
437,new problem had wrong last name on reservation which is airways fixed new can not get through tsa 
438,i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now 
439,flight was cancelled lighted due to mechanical issues but when i ask for cab fare they say it was weather and can not help me 
440,great flight as always _exclamation_ thank you to the great crew on flight  _exclamation_  
441,rant cont to top it all off rescheduled flight to tpa at 10:10 is already delayed how can they be that bad _questionmark_  
442,when will the old   fly ord pig get upgraded _questionmark_  
443,another unfortunate case of bad luck usually maintenance issue they are now swapping planes to ont will get in late flight : 
444,nice to know that  hours of my time is worth   free direct for everyone _exclamation_ ever hear of preventative maintenance _questionmark_  
445,any tips on getting a hotel that your airline won i get for any of us even though we were told that we i make our flight _questionmark_  
446,im just saying change can be amazing like miami :winking_face: 
447,missed  connection due  mechanical failure  uplink prob i will lose  in clients mon how can you compensate _questionmark_  
448,we saw one he was as useless as the tsa agents who inspected my shoes 
449,  pay in person at portland airport i will be flying from perth this has been done by us air 
450,making a bad situation worse cancelled lighted flight making us stay overnight in sum won i provide vouchers to stay in a different hotel 
451,just landed hours late flight and now we need to wait twenty more minutes for a gate _exclamation_ i have patience but none for incompetence 
